,City,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Latitude,Longitude,Date
0,Punta Arenas,46.4,75,66,21.85,CL,-53.15,-70.9167,1611788886
1,Kamaishi,33.51,100,83,4.32,JP,39.2667,141.8833,1611788887
2,Chumikan,-13.14,100,88,8.72,RU,54.7183,135.315,1611788888
3,Henties Bay,68.0,6,85,6.13,NA,-22.116,14.2845,1611788889
4,Pangnirtung,-4.0,1,77,4.61,CA,66.1451,-65.7125,1611788890
5,Busselton,55.0,0,81,1.99,AU,-33.65,115.3333,1611788728
6,Pisco,75.2,0,60,10.36,PE,-13.7,-76.2167,1611788893
7,Cap Malheureux,77.0,2,81,1.99,MU,-19.9842,57.6142,1611788894
8,Albany,28.99,87,61,11.99,US,42.6001,-73.9662,1611788895
9,Marawi,71.01,97,85,5.99,PH,7.9986,124.2928,1611788896
10,Dalvik,15.8,90,86,5.75,IS,65.9702,-18.5286,1611788897
11,Saint Paul Harbor,33.8,90,75,4.61,US,57.79,-152.4072,1611788899
12,Poreč,35.01,70,80,8.05,HR,45.2258,13.5939,1611788900
13,Luena,62.08,100,97,2.26,AO,-11.7833,19.9167,1611788652
14,Belyy Yar,10.4,100,92,4.47,RU,53.6039,91.3903,1611788902
15,San Quintín,58.08,80,49,9.75,MX,30.4833,-115.95,1611788903
16,Ushuaia,39.2,40,93,19.57,AR,-54.8,-68.3,1611788904
17,Laas,28.99,0,86,5.73,IT,46.6166,10.7002,1611788905
18,George Town,78.8,20,94,4.59,MY,5.4112,100.3354,1611788907
19,Pargas,30.0,90,93,4.61,FI,60.3067,22.301,1611788908
20,Saint-Joseph,77.0,0,69,5.75,RE,-21.3667,55.6167,1611788868
21,Krasnosel'kup,-39.23,13,82,3.71,RU,65.7,82.4667,1611788910
22,Saint Anthony,14.0,90,57,3.44,US,45.0205,-93.218,1611788911
23,Avarua,87.8,75,58,17.27,CK,-21.2078,-159.775,1611788912
24,Vilyuysk,-47.43,98,77,2.51,RU,63.7553,121.6247,1611788913
25,Kapaa,78.8,75,78,18.41,US,22.0752,-159.319,1611788915
26,Hobart,59.0,75,47,8.05,AU,-42.8794,147.3294,1611788818
27,Fortuna,48.0,75,87,19.57,US,40.5982,-124.1573,1611788917
28,Asău,32.0,100,46,5.55,RO,46.4333,26.4,1611788918
29,Tiksi,-35.39,99,82,2.13,RU,71.6872,128.8694,1611788919
30,Moïssala,76.78,24,21,3.27,TD,8.3404,17.7663,1611788920
31,Port Blair,78.3,94,83,10.67,IN,11.6667,92.75,1611788921
32,Atuona,78.58,3,80,15.7,PF,-9.8,-139.0333,1611788922
33,Paramonga,72.43,87,78,6.69,PE,-10.6667,-77.8333,1611788896
34,Ancud,63.0,20,63,9.22,CL,-41.8697,-73.8203,1611788925
35,Hofn,26.11,13,87,16.31,IS,64.2539,-15.2082,1611788926
36,Kaitangata,53.01,78,73,11.99,NZ,-46.2817,169.8464,1611788927
37,Hithadhoo,81.41,98,78,15.88,MV,-0.6,73.0833,1611788928
38,Jamestown,23.0,90,93,5.97,US,42.097,-79.2353,1611788669
39,Cape Town,64.99,0,68,17.27,ZA,-33.9258,18.4232,1611788704
